"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",3795,0.0245059288537549,0.0919631093544137,0.030073259172723,0.101789172705614,3796,0.0229188619599579,0.0903582718651212,0.0283278156255665,0.100111024557681
"AS",365,0.00547945205479452,0.117808219178082,0.0216213027333306,0.15602099003754,365,0.00273972602739726,0.073972602739726,0.0174796508480862,0.106608255154063
"B6",1657,0.0277610138805069,0.11828605914303,0.0371190401846953,0.135106512847529,1657,0.0259505129752565,0.105009052504526,0.035059253796844,0.121064373783623
"DL",7085,0.00860973888496824,0.0613973182780522,0.0111163509673677,0.0673578694977609,7085,0.00762173606210304,0.0724064925899788,0.0100024541435909,0.0788133023794071
"EV",137,0.0291970802919708,0.0875912408759124,0.0765504451888069,0.149660229714295,136,0.0147058823529412,0.0882352941176471,0.0567317360174046,0.150709255283711
"F9",1233,0.0210867802108678,0.181670721816707,0.0310934069119129,0.204673884697763,1234,0.0243111831442464,0.195299837925446,0.0348679580291718,0.218861198187932
"FL",413,0.0169491525423729,0.0750605326876513,0.0358151045948323,0.105575901924632,412,0.00728155339805825,0.0606796116504854,0.0227047569526621,0.0890610510251685
"NK",448,0.0558035714285714,0.252232142857143,0.0820290622327372,0.295396689138075,452,0.0508849557522124,0.265486725663717,0.0761447661502342,0.309004488067991
"OO",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"UA",4003,0.0199850112415688,0.0976767424431676,0.0249374847238742,0.107475408400117,4002,0.0157421289355322,0.106696651674163,0.020217964313618,0.116860651261939
"US",42785,0.0179502161972654,0.0822951969148066,0.0192805658474724,0.0849918865650628,42781,0.0197985086837615,0.0639536242724574,0.0211918691779522,0.0663608246146178
"VX",258,0,0.0852713178294574,0.0183878279397486,0.12724588169921,257,0.00389105058365759,0.0544747081712062,0.024690174119893,0.0909996607395239
"WN",8585,0.0259755387303436,0.0962143273150844,0.0296430839264587,0.102771651616057,8584,0.0246971109040075,0.10950605778192,0.0282825631088786,0.11643220031602
