"CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"AA",521442,0.0202802996306396,0.0851312322367588,0.0206744174888689,0.0859073738454086,0.020280059794768,0.0851301443150309
"AS",138103,0.00385219727304983,0.0319688927829229,0.00420056509198796,0.0329293821938332,0.00386023265609192,0.0319863345855138
"B6",237113,0.0201844690084474,0.0898938480808728,0.0207702796239635,0.0910755954578878,0.0201839720525726,0.0898903313670842
"DL",760163,0.00689720494157174,0.0461558902498543,0.00708968447678692,0.0466396034098293,0.0068983642232132,0.0461580149930481
"EV",351016,0.0344115367960435,0.107544955215717,0.0350322238180014,0.108595255231773,0.0344081537788472,0.10753976392307
"F9",78053,0.00690556416793717,0.0978950200504785,0.00752472329255999,0.100043145752178,0.00691683668636933,0.0978786055384143
"FL",28986,0.00689988270199407,0.0403298143931553,0.00794502017731665,0.0427058728942267,0.00693020246927174,0.0403966668962193
"HA",64388,0.00329253898241908,0.0154531900354103,0.00377700366738125,0.0164563892531586,0.00331041586517579,0.0155049345167898
"MQ",187856,0.0600459926752406,0.143455625585555,0.0611516867517258,0.145080761384604,0.0600294150199648,0.143435224998936
"NK",46187,0.0240543875982419,0.150626799748847,0.0255226026373343,0.153985853550963,0.0240455490659761,0.150535216140821
"OO",350486,0.0209223763574009,0.0878751219734882,0.0214114165739124,0.0888362765589092,0.020921881828337,0.0878730651391274
"UA",490127,0.0160305390235592,0.0860389246052554,0.0163933209376044,0.0868434144835349,0.0160309358056737,0.0860376634848618
"US",401601,0.0160109163074793,0.0570765511042054,0.0164119218103809,0.0578131349241335,0.0160114042106552,0.0570790500352291
"VX",58204,0.00981032231461755,0.0708542368222115,0.0106624280837769,0.073011116587204,0.00982168595313594,0.0708582217645039
"WN",1168010,0.0150486725284886,0.0689129373892347,0.0152756461965361,0.0693831793751443,0.0150489022547328,0.068913229218212
